STATION_ID,variable,min,mean,median,max
1AAUA012.15,SECCHI_DEPTH,1,2.27,2.3,3.4
1ALOH007.93,SECCHI_DEPTH,0.4,1.136111111111111,1.05,3.8
1APOM013.02,SECCHI_DEPTH,0.9,1.7222222222222223,1.7,2.9
1BCLS003.60,SECCHI_DEPTH,3,8.1,8.4,11.7
1BCNG003.13,SECCHI_DEPTH,0.5,1.2357142857142858,1,3.3
1BCRO009.19,SECCHI_DEPTH,0.9,3.5428571428571427,3.3,8.3
1BCRO009.79,SECCHI_DEPTH,1,3.1855263157894735,3.1500000000000004,6.1
1BNTH043.48,SECCHI_DEPTH,0.6,4.120588235294117,4.15,6.2
1BNTH045.36,SECCHI_DEPTH,2.2,4.4825,4.3,6.8
1BSKD003.18,SECCHI_DEPTH,1.5,6.926315789473684,7.4,9.8
1BSTY023.05,SECCHI_DEPTH,0.3,3.1466666666666665,2.95,5.9
1BXCE000.63,SECCHI_DEPTH,0.5,2.8289473684210527,2.7,4.8
2-APP020.23,SECCHI_DEPTH,0.4,1.0694915254237287,1,1.9
2-APP023.27,SECCHI_DEPTH,0.2,0.8711538461538462,0.9,1.3
2-APP026.67,SECCHI_DEPTH,0.1,0.6192307692307693,0.6,1.1
2-APP028.58,SECCHI_DEPTH,0.2,0.4277777777777778,0.4,0.9
2-BRI010.78,SECCHI_DEPTH,0.8,1.551923076923077,1.45,3.2
2-BRI013.12,SECCHI_DEPTH,0.7,1.324,1.3,2.5
2-BVR002.19,SECCHI_DEPTH,1,2.3875,2.5,4.4
2-CFK004.34,SECCHI_DEPTH,0.4,1.0772727272727274,1,3
2-CHK025.15,SECCHI_DEPTH,0.4,0.6934782608695652,0.7,1.2
2-CHK026.94,SECCHI_DEPTH,0.4,0.7822222222222223,0.7,2.8
2-CHK029.54,SECCHI_DEPTH,0.5,0.9441176470588235,0.9,2.4
2-DSC005.91,SECCHI_DEPTH,0.5,1.0886363636363636,1.05,1.9
2-DSC007.09,SECCHI_DEPTH,0.4,0.9363636363636364,0.8,1.6
2-DYC000.19,SECCHI_DEPTH,0.2,0.9595238095238096,0.9,2.5
2-FAC003.85,SECCHI_DEPTH,0.3,0.8757575757575757,0.8,1.6
2-HOL001.05,SECCHI_DEPTH,0.9,1.9628571428571429,1.8,3.8
2-JCB000.80,SECCHI_DEPTH,0.6,2.4425,2.45,4.5
2-JKS044.60,SECCHI_DEPTH,2,3.3819444444444446,3.45,5.5
2-JKS046.40,SECCHI_DEPTH,1.9,3.036,3,5.2
2-JKS048.90,SECCHI_DEPTH,1.5,2.5067567567567566,2.5,4.1
2-JKS053.48,SECCHI_DEPTH,0.4,1.3424242424242425,1.3,2.8
2-LCN000.20,SECCHI_DEPTH,0.1,1.0617021276595744,1,2.2
2-LDJ000.62,SECCHI_DEPTH,0.7,1.188095238095238,1.05,2.4
2-LHR001.76,SECCHI_DEPTH,0.6,1.32,1.2,2.4
2-LHR002.56,SECCHI_DEPTH,0.5,1.217142857142857,1.2,2.2
2-LMD000.02,SECCHI_DEPTH,0.8,1.2325581395348837,1.1,2.5
2-LMD001.41,SECCHI_DEPTH,0.6,1.1714285714285715,1.1,2.2
2-LPR000.02,SECCHI_DEPTH,0.6,1.34,1.3,2
2-LSL000.04,SECCHI_DEPTH,0.4,0.6914285714285714,0.7,1.1
2-LSL000.16,SECCHI_DEPTH,1.5,2.5085714285714285,2.3,5
2-LSL000.20,SECCHI_DEPTH,0.5,1.6757575757575758,1.6,3.2
2-LTL001.20,SECCHI_DEPTH,1.6,2.8024999999999998,2.8,4
2-LTL001.60,SECCHI_DEPTH,1.5,2.9642857142857144,3,4
2-LTL002.46,SECCHI_DEPTH,1.4,2.7025641025641027,2.8,4
2-MBN000.96,SECCHI_DEPTH,0.6,1.149056603773585,1.1,2.3
2-MIN000.98,SECCHI_DEPTH,0.4,1.1028571428571428,1,2.6
2-MNR014.50,SECCHI_DEPTH,1.2,2.95,3.1,5.1
2-NWB002.93,SECCHI_DEPTH,0.8,1.2875,1.3,2.2
2-NWB004.67,SECCHI_DEPTH,0.9,1.3425,1.3,2.4
2-NWB006.06,SECCHI_DEPTH,0.9,1.375,1.3,2
2-NWB007.04,SECCHI_DEPTH,0.4,1.3484848484848484,1.3,2.6
2-PKC001.84,SECCHI_DEPTH,0.6,1.1634146341463414,1.1,1.8
2-POL017.59,SECCHI_DEPTH,0.4,2.2984848484848484,2.1,4.9
2-RRS003.59,SECCHI_DEPTH,0.2,1.86,1.9,2.8
2-RRS005.62,SECCHI_DEPTH,0.2,1.435897435897436,1.4,2.8
2-SDY004.27,SECCHI_DEPTH,0.7,1.1584905660377358,1.1,2.4
2-SDY005.85,SECCHI_DEPTH,0.6,1.0716981132075472,1,2
2-SFT031.08,SECCHI_DEPTH,0.3,0.9833333333333334,0.9,2.5
2-SFT033.42,SECCHI_DEPTH,0.2,0.8785714285714286,0.8500000000000001,2
2-SFT034.38,SECCHI_DEPTH,0.2,0.7225,0.7,1.4
2-SHS001.00,SECCHI_DEPTH,0.2,0.7609756097560976,0.7,1.6
2-SIN000.44,SECCHI_DEPTH,0.6,1.5,1.3,2.9
2-SPE000.17,SECCHI_DEPTH,0.4,0.9727272727272728,1,1.6
2-SPE001.18,SECCHI_DEPTH,0.5,0.9325,0.9,1.5
