Variable,STATION_ID,Month,Mean,Min,Max,Nobs
SECCHI_DEPTH,1BCRO009.19,5,3.684615384615385,2,6.6,14
SECCHI_DEPTH,1BCRO009.19,6,3.4857142857142858,1.7,5.7,15
SECCHI_DEPTH,1BCRO009.19,7,3.8071428571428574,1.8,8.3,16
SECCHI_DEPTH,1BCRO009.19,8,3.82,2.4,7.6,16
SECCHI_DEPTH,1BCRO009.19,9,3.216666666666667,2,4.4,14
SECCHI_DEPTH,1BCRO009.19,10,3.146153846153846,0.9,6.1,13
SECCHI_DEPTH,1BCRO009.79,5,3.225,1.5,4.8,14
SECCHI_DEPTH,1BCRO009.79,6,2.992857142857143,1.7,3.9,15
SECCHI_DEPTH,1BCRO009.79,7,3.28,2,6.1,16
SECCHI_DEPTH,1BCRO009.79,8,3.4714285714285715,2.4,5.3,16
SECCHI_DEPTH,1BCRO009.79,9,3.023076923076923,1.5,4.7,14
SECCHI_DEPTH,1BCRO009.79,10,3.0166666666666666,1,5.4,13
SECCHI_DEPTH,1BXCE000.63,5,2.775,1.5,4.1,14
SECCHI_DEPTH,1BXCE000.63,6,2.7,1.5,4.3,15
SECCHI_DEPTH,1BXCE000.63,7,3.006666666666667,1.6,4.8,16
SECCHI_DEPTH,1BXCE000.63,8,3.12,2.3,4.6,16
SECCHI_DEPTH,1BXCE000.63,9,2.8333333333333335,1.6,4.6,14
SECCHI_DEPTH,1BXCE000.63,10,2.4833333333333334,0.5,3.6,13
SECCHI_DEPTH,2-APP020.23,5,1,0.6,1.7,10
SECCHI_DEPTH,2-APP020.23,6,1.14,0.4,1.9,10
SECCHI_DEPTH,2-APP020.23,7,1.1199999999999999,0.7,1.5,10
SECCHI_DEPTH,2-APP020.23,8,1.16,0.8,1.7,10
SECCHI_DEPTH,2-APP020.23,9,1.09,0.6,1.6,10
SECCHI_DEPTH,2-APP020.23,10,0.9,0.5,1.1,10
SECCHI_DEPTH,2-BRI010.78,5,1.57,1,3.2,10
SECCHI_DEPTH,2-BRI010.78,6,1.34,1.1,1.7,10
SECCHI_DEPTH,2-BRI010.78,7,1.45,1,2.2,10
SECCHI_DEPTH,2-BRI010.78,8,1.6222222222222222,1.2,2.1,9
SECCHI_DEPTH,2-BRI010.78,9,1.8111111111111111,1.1,2.5,9
SECCHI_DEPTH,2-BRI010.78,10,1.3714285714285714,0.8,1.9,8
SECCHI_DEPTH,2-BRI013.12,5,1.3444444444444446,0.7,2.5,10
SECCHI_DEPTH,2-BRI013.12,6,1.22,0.8,1.8,10
SECCHI_DEPTH,2-BRI013.12,7,1.32,0.8,2.1,10
SECCHI_DEPTH,2-BRI013.12,8,1.3666666666666667,1,1.8,9
SECCHI_DEPTH,2-BRI013.12,9,1.475,0.8,2,9
SECCHI_DEPTH,2-BRI013.12,10,1.1285714285714286,0.7,1.4,8
SECCHI_DEPTH,2-JKS044.60,5,2.790909090909091,2,4,16
SECCHI_DEPTH,2-JKS044.60,6,3.5416666666666665,2.3,5.5,14
SECCHI_DEPTH,2-JKS044.60,7,3.566666666666667,2.5,4.9,15
SECCHI_DEPTH,2-JKS044.60,8,3.3615384615384616,2,4.5,16
SECCHI_DEPTH,2-JKS044.60,9,3.5083333333333333,2.7,4.1,12
SECCHI_DEPTH,2-JKS044.60,10,3.475,2.5,4.1,17
SECCHI_DEPTH,2-JKS046.40,5,2.5083333333333333,1.9,3.3,16
SECCHI_DEPTH,2-JKS046.40,6,3.275,2.2,5,14
SECCHI_DEPTH,2-JKS046.40,7,3.3230769230769233,2.2,5.2,15
SECCHI_DEPTH,2-JKS046.40,8,3.0307692307692307,2.1,4.1,16
SECCHI_DEPTH,2-JKS046.40,9,3.1083333333333334,2.3,4.1,12
SECCHI_DEPTH,2-JKS046.40,10,2.953846153846154,2.1,3.9,17
SECCHI_DEPTH,2-JKS048.90,5,2.2,1.6,3,16
SECCHI_DEPTH,2-JKS048.90,6,2.827272727272727,2,4.1,13
SECCHI_DEPTH,2-JKS048.90,7,2.6615384615384614,1.8,3.7,15
SECCHI_DEPTH,2-JKS048.90,8,2.525,1.7,3.6,16
SECCHI_DEPTH,2-JKS048.90,9,2.566666666666667,2,3.3,12
SECCHI_DEPTH,2-JKS048.90,10,2.3153846153846156,1.5,3,17
SECCHI_DEPTH,2-JKS053.48,5,1.4307692307692308,0.8,2.3,15
SECCHI_DEPTH,2-JKS053.48,6,1.8,1.3,2.7,13
