Variable,STATION_ID,Month,Mean,Min,Max,Nobs,key,model_slope,model_MAD,model_pval,model_intercept
SECCHI_DEPTH,1BCRO009.19,5,3.684615384615385,2,6.6,14,1BCRO009.19_5,0.045555555555555544,0.08535245833333331,0.5417480468750002,-88.04777777777774
SECCHI_DEPTH,1BCRO009.19,6,3.4857142857142858,1.7,5.7,15,1BCRO009.19_6,0.07499999999999998,0.09530999999999999,0.03022593830435838,-146.7
SECCHI_DEPTH,1BCRO009.19,7,3.8071428571428574,1.8,8.3,16,1BCRO009.19_7,0.034313725490196054,0.06609665441176467,0.17260742187500003,-65.51372549019605
SECCHI_DEPTH,1BCRO009.19,8,3.82,2.4,7.6,16,1BCRO009.19_8,0.005513784461152875,0.05739465587044535,0.8903808593750001,-7.659899749373416
SECCHI_DEPTH,1BCRO009.19,9,3.216666666666667,2,4.4,14,1BCRO009.19_9,-0.05644736842105266,0.042948333333333345,0.013435415683849091,117.29473684210527
SECCHI_DEPTH,1BCRO009.19,10,3.146153846153846,0.9,6.1,13,1BCRO009.19_10,0.06555555555555558,0.061186666666666674,0.006103515625000004,-128.22222222222223
SECCHI_DEPTH,1BCRO009.79,5,3.225,1.5,4.8,14,1BCRO009.79_5,-0.05227272727272726,0.06671699999999997,0.14655224568852065,108.62499999999994
SECCHI_DEPTH,1BCRO009.79,6,2.992857142857143,1.7,3.9,15,1BCRO009.79_6,0,0.04236000000000001,0.8936946693232326,3.399999999999636
SECCHI_DEPTH,1BCRO009.79,7,3.28,2,6.1,16,1BCRO009.79_7,0.0029605263157894586,0.04521241486068112,0.42120361328125006,-2.7328947368421055
SECCHI_DEPTH,1BCRO009.79,8,3.4714285714285715,2.4,5.3,16,1BCRO009.79_8,0.010773809523809496,0.09257424999999994,0.8077392578125001,-17.605952380952264
SECCHI_DEPTH,1BCRO009.79,9,3.023076923076923,1.5,4.7,14,1BCRO009.79_9,0.011695906432748522,0.04400114035087716,0.4973144531250002,-20.715204678362536
SECCHI_DEPTH,1BCRO009.79,10,3.0166666666666666,1,5.4,13,1BCRO009.79_10,0.06060606060606062,0.06537854166666666,0.05442754463715264,-118.80000000000004
SECCHI_DEPTH,1BXCE000.63,5,2.775,1.5,4.1,14,1BXCE000.63_5,-0.020000000000000018,0.03369545454545454,0.11953956694235178,43.17999999999993
SECCHI_DEPTH,1BXCE000.63,6,2.7,1.5,4.3,15,1BXCE000.63_6,0.045,0.05892244852941178,0.021058670381610266,-87.55499999999998
SECCHI_DEPTH,1BXCE000.63,7,3.006666666666667,1.6,4.8,16,1BXCE000.63_7,-0.0064583333333333385,0.05136382236842104,0.8469238281250001,15.161875000000041
SECCHI_DEPTH,1BXCE000.63,8,3.12,2.3,4.6,16,1BXCE000.63_8,-0.05,0.05824500000000002,0.07354388753800374,104.10000000000007
SECCHI_DEPTH,1BXCE000.63,9,2.8333333333333335,1.6,4.6,14,1BXCE000.63_9,0,0.05956874999999998,0.8383602338389031,2.400000000000091
SECCHI_DEPTH,1BXCE000.63,10,2.4833333333333334,0.5,3.6,13,1BXCE000.63_10,0.027719298245614032,0.041096631578947364,0.024265276173783462,-53.36947368421053
SECCHI_DEPTH,4ABSA000.62,5,2.552380952380952,1.6,4.7,23,4ABSA000.62_5,0.002272727272727275,0.019381349686119487,1,-2.1500000000001944
SECCHI_DEPTH,4ABSA000.62,6,3.286363636363636,1.8,6.2,31,4ABSA000.62_6,-0.01909090909090906,0.04694899999999999,0.20539595850121953,41.905454545454404
SECCHI_DEPTH,4ABSA000.62,7,3.0375,2,4.1,25,4ABSA000.62_7,0.04701754385964911,0.02893671052631575,1.0526213653201444e-4,-91.34017543859648
SECCHI_DEPTH,4ABSA000.62,8,2.482608695652174,0.9,3.5,31,4ABSA000.62_8,0.013942307692307705,0.025303990384615407,0.4953789231943616,-25.454326923076923
SECCHI_DEPTH,4ABSA000.62,9,2.465,1.2,3.5,20,4ABSA000.62_9,-0.034999999999999976,0.05189099999999996,0.010988196340194312,72.94499999999991
SECCHI_DEPTH,4ABSA000.62,10,2.73,1.8,4,28,4ABSA000.62_10,-0.00416666666666667,0.04461217194570135,0.7938356323393149,10.950000000000083
SECCHI_DEPTH,4ABWR002.50,5,2.5428571428571427,1.4,3.7,25,4ABWR002.50_5,0,0.029122500000000023,0.7794813238029825,2.1999999999999944
SECCHI_DEPTH,4ABWR002.50,6,3.4458333333333333,1.8,6.4,35,4ABWR002.50_6,-0.028431372549019597,0.06120476923076921,0.05160330110398044,59.527450980392125
SECCHI_DEPTH,4ABWR002.50,7,3.1043478260869564,2.2,4,27,4ABWR002.50_7,0.027205882352941187,0.03379455882352942,0.0025335493612834927,-51.575000000000045
SECCHI_DEPTH,4ABWR002.50,8,2.504,0.9,3.5,33,4ABWR002.50_8,-4.46428571428572e-4,0.03416955301857586,0.2296623602420801,3.293750000000001
SECCHI_DEPTH,4ABWR002.50,9,2.555,1.5,3.7,22,4ABWR002.50_9,-0.00454545454545455,0.04027409090909089,0.046332729793395394,11.722727272727333
SECCHI_DEPTH,4ABWR002.50,10,2.738095238095238,1.5,3.7,31,4ABWR002.50_10,-0.022708333333333323,0.033667374999999986,0.017758060988086945,48.530208333333334
SECCHI_DEPTH,4ABWR010.55,5,1.7904761904761906,1.2,2.7,25,4ABWR010.55_5,0,0.021709500000000003,0.20520362244973908,1.7000000000000002
SECCHI_DEPTH,4ABWR010.55,6,2.0541666666666667,0.8,3,34,4ABWR010.55_6,-0.03818181818181818,0.031112136363636352,0.0010662708793253463,79.2154545454545
SECCHI_DEPTH,4ABWR010.55,7,1.8458333333333332,0.8,2.8,27,4ABWR010.55_7,-0.013392857142857154,0.03944774999999998,0.04000912957163297,29.086607142857158
SECCHI_DEPTH,4ABWR010.55,8,1.752,0.9,2.5,35,4ABWR010.55_8,-0.04017857142857144,0.018404797058823533,1.5326769400449011e-4,82.4794642857143
SECCHI_DEPTH,4ABWR010.55,9,1.795,0.7,3.5,22,4ABWR010.55_9,-0.052272727272727276,0.05083199999999999,2.876189023078103e-4,106.78181818181818
SECCHI_DEPTH,4ABWR010.55,10,2.18,0.6,3.1,30,4ABWR010.55_10,-0.01306818181818181,0.03790738636363637,0.1908721882461004,28.61079545454544
