Station,CHLA_minYear,CHLA_maxYear,CHLA_mean,CHLA_median,CHLA_min,CHLA_max,CHLA_Nobs,CHLA_nYears,TN_minYear,TN_maxYear,TN_mean,TN_median,TN_min,TN_max,TN_Nobs,TN_nYears,DIN_minYear,DIN_maxYear,DIN_mean,DIN_median,DIN_min,DIN_max,DIN_Nobs,DIN_nYears,TP_minYear,TP_maxYear,TP_mean,TP_median,TP_min,TP_max,TP_Nobs,TP_nYears,TSS_minYear,TSS_maxYear,TSS_mean,TSS_median,TSS_min,TSS_max,TSS_Nobs,TSS_nYears,SECCHI_minYear,SECCHI_maxYear,SECCHI_mean,SECCHI_median,SECCHI_min,SECCHI_max,SECCHI_Nobs,SECCHI_nYears
1ADOU000.60,2004,2015,18.930377358490567,14.58,2.1,86,53,12,2004,2015,1.234,1.23,0.49,2.27,53,12,2007,2007,0.7684,0.758,0.018,1.539,5,1,2004,2015,0.07056603773584906,0.06,0.03,0.16,53,12,2004,2015,15.39622641509434,14,2,32,53,12,2004,2015,0.6204081632653061,0.6,0.2,1.5,49,11
1ANEA000.40,2004,2006,31.74375,28.5,21.77,55.32,8,3,2004,2006,1.19125,1.1099999999999999,0.96,1.59,8,3,NA,NA,NA,NA,NA,NA,0,0,2004,2006,0.09625,0.09,0.05,0.14,8,3,2004,2006,21.5,22,9,32,8,3,2004,2005,0.4,0.4,0.3,0.5,5,2
1ANEA000.57,2006,2015,16.536666666666665,15.254999999999999,2.31,44.23,60,10,2006,2015,1.265516393442623,1.16,0.64,2.58,61,10,2007,2007,0.297,0.373,0.018,0.526,5,1,2006,2015,0.07311475409836066,0.07,0.04,0.13,61,10,2006,2015,23.60655737704918,21,9,70,61,10,2006,2015,0.47547169811320755,0.4,0.2,1.1,53,10
1AOCC002.47,2004,2015,20.00936170212766,13.8,1.78,76.33,47,9,2004,2015,1.0359574468085107,1,0.46,2.06,47,9,NA,NA,NA,NA,NA,NA,0,0,2004,2015,0.069375,0.06,0.03,0.26,48,9,2004,2015,15.520833333333334,13,4,52,48,9,2004,2015,0.6622222222222223,0.6,0.3,1.7,45,9
1APOH000.21,2004,2005,9.99,10.93,1.14,16.96,4,2,2004,2005,1.5699999999999998,1.585,1.45,1.66,4,2,NA,NA,NA,NA,NA,NA,0,0,2004,2005,0.0675,0.055,0.05,0.11,4,2,2004,2005,21.5,15.5,9,46,4,2,2004,2004,0.5333333333333333,0.6,0.3,0.7,3,1
1APOH000.93,2007,2015,16.4175,14.75,4.31,32.3,16,7,2007,2015,1.16771875,1.1179999999999999,0.58,1.8875,16,7,2007,2007,0.895,0.895,0.245,1.545,2,1,2007,2015,0.063125,0.06,0.03,0.09,16,7,2007,2012,17.625,17,11,25,8,4,2007,2015,0.55,0.5,0.3,0.8,16,7
1APOH002.10,2008,2008,12.44,12.44,12.44,12.44,1,1,2008,2008,2.513,2.513,2.513,2.513,1,1,2008,2008,1.632,1.632,1.632,1.632,1,1,2008,2008,0.06,0.06,0.06,0.06,1,1,2008,2008,22,22,22,22,1,1,2007,2009,0.5925925925925926,0.5,0.3,1.1,27,3
1APOH002.32,2004,2015,13.350178571428572,12,1.14,48.6,56,12,2004,2015,1.7294285714285715,1.685,0.47,3.58,56,12,2007,2007,1.4442,1.438,1.295,1.54,5,1,2004,2015,0.05392857142857143,0.05,0.02,0.11,56,12,2004,2015,9.446428571428571,6,1,33,56,12,2004,2015,0.8846153846153846,0.8500000000000001,0.3,1.6,52,12
1AQUA000.43,2007,2015,12.481351351351352,7.72,0.71,36.6,37,9,2007,2015,0.9716891891891892,0.912,0.537,1.65,37,9,2007,2007,0.3765,0.375,0.23,0.526,4,1,2007,2015,0.06918918918918919,0.06,0.04,0.13,37,9,2007,2015,16.64864864864865,16,5,36,37,9,2007,2015,0.595945945945946,0.5,0.3,1.3,37,9
LE2.2,2000,2023,14.152353535353535,10.620000000000001,3.55,252.1905,198,24,2000,2023,0.7804070351758794,0.7235,0.474,2.8995,199,24,2000,2023,0.10660669191919192,0.0432,0.0039,0.712,198,24,2000,2023,0.04017604690117253,0.0382,0.017333333333333333,0.15084999999999998,199,24,2000,2023,6.072361809045226,4.75,2.4,32.5,199,24,2000,2023,1.2756345177664974,1.2,0.1,2.8,197,24
