CBSeg2003,Station,SampleDate,Year,Month,STATION_YEAR,CHLA,TN,DIN,TP,TSS,SECCHI
APPTF ,TF5.4,2000-05-23T00:00:00Z,2000,5,TF5.4_2000,48.11,0.951,0.228,0.105,35,0.5
APPTF ,TF5.4,2000-06-20T00:00:00Z,2000,6,TF5.4_2000,39.46,1.061,0.165,0.125,30,NA
APPTF ,TF5.4,2000-07-18T00:00:00Z,2000,7,TF5.4_2000,41.63,1.043,0.203,0.116,35,0.5
APPTF ,TF5.4,2000-08-22T00:00:00Z,2000,8,TF5.4_2000,49.56,0.792,0.011,0.096,21,0.4
APPTF ,TF5.4,2000-09-26T00:00:00Z,2000,9,TF5.4_2000,26.52,NA,0.663,0.082,NA,0.7
APPTF ,TF5.4,2000-10-24T00:00:00Z,2000,10,TF5.4_2000,57.92,1.02,0.269,0.092,25,0.5
APPTF ,TF5.4,2001-06-19T00:00:00Z,2001,6,TF5.4_2001,17.43,0.939,0.284,0.1122,31,0.5
APPTF ,TF5.4,2001-07-24T00:00:00Z,2001,7,TF5.4_2001,35.71,NA,NA,NA,NA,0.5
APPTF ,TF5.4,2001-08-21T00:00:00Z,2001,8,TF5.4_2001,40.64,0.905,0.222,0.10780000000000001,35,0.4
APPTF ,TF5.4,2001-09-18T00:00:00Z,2001,9,TF5.4_2001,69.08,1.049,0.073,0.121,29,0.5
APPTF ,TF5.4,2001-10-16T00:00:00Z,2001,10,TF5.4_2001,66.54,1.337,0.16,0.142,44,0.2
APPTF ,TF5.4,2002-05-30T00:00:00Z,2002,5,TF5.4_2002,38.88,0.963,0.006,0.1378,42,0.3
APPTF ,TF5.4,2002-06-25T00:00:00Z,2002,6,TF5.4_2002,59.19,1.169,0.027,0.1728,81,0.3
APPTF ,TF5.4,2002-07-23T00:00:00Z,2002,7,TF5.4_2002,51.23,1.204,0.18,0.1474,40,0.3
APPTF ,TF5.4,2002-08-13T00:00:00Z,2002,8,TF5.4_2002,47.63,1.159,0.074,0.1156,21,0.5
APPTF ,TF5.4,2002-09-24T00:00:00Z,2002,9,TF5.4_2002,52.58,1.291,0.366,0.09,49,0.4
APPTF ,TF5.4,2002-10-22T00:00:00Z,2002,10,TF5.4_2002,27.54,1.75,0.844,0.1232,27,0.4
APPTF ,TF5.4,2003-05-27T00:00:00Z,2003,5,TF5.4_2003,2.62,0.694,0.128,0.06,61,0.2
APPTF ,TF5.4,2003-06-24T00:00:00Z,2003,6,TF5.4_2003,6,0.649,0.263,0.07,15,0.5
APPTF ,TF5.4,2003-07-15T00:00:00Z,2003,7,TF5.4_2003,15.63,0.6339999999999999,0.199,0.07,28,0.6
APPTF ,TF5.4,2003-08-26T00:00:00Z,2003,8,TF5.4_2003,20.79,0.975,0.326,0.09,23,0.4
APPTF ,TF5.4,2003-09-24T00:00:00Z,2003,9,TF5.4_2003,1.99,0.7344999999999999,0.166,0.06,15,0.2
APPTF ,TF5.4,2003-10-28T00:00:00Z,2003,10,TF5.4_2003,8.53,0.912,0.457,0.126,22,0.4
APPTF ,TF5.4,2004-05-18T00:00:00Z,2004,5,TF5.4_2004,15.25,0.719,0.317,0.0928,26,0.5
APPTF ,TF5.4,2004-06-15T00:00:00Z,2004,6,TF5.4_2004,5.57,0.954,0.485,0.0854,26,0.4
APPTF ,TF5.4,2004-07-20T00:00:00Z,2004,7,TF5.4_2004,38.61,0.782,0.01,0.1144,47,0.3
APPTF ,TF5.4,2004-08-17T00:00:00Z,2004,8,TF5.4_2004,NA,0.698,0.249,0.0693,12,0.4
APPTF ,TF5.4,2004-09-21T00:00:00Z,2004,9,TF5.4_2004,0.87,0.758,0.201,0.1026,17,0.3
APPTF ,TF5.4,2004-10-19T00:00:00Z,2004,10,TF5.4_2004,0.98,0.658,0.284,0.0458,7,0.6
APPTF ,TF5.4,2005-05-24T00:00:00Z,2005,5,TF5.4_2005,0.5,0.737,0.325,0.0732,22,0.6
APPTF ,TF5.4,2005-06-21T00:00:00Z,2005,6,TF5.4_2005,11.07,0.94,0.301,0.0985,8,0.4
APPTF ,TF5.4,2005-07-19T00:00:00Z,2005,7,TF5.4_2005,39.93,0.909,0.359,0.1099,23,0.3
APPTF ,TF5.4,2005-08-23T00:00:00Z,2005,8,TF5.4_2005,61.05,0.895,0.136,0.0988,38,0.4
APPTF ,TF5.4,2005-09-20T00:00:00Z,2005,9,TF5.4_2005,36.94,1.087,0.371,0.1244,42,0.3
APPTF ,TF5.4,2005-10-18T00:00:00Z,2005,10,TF5.4_2005,9.86,NA,NA,NA,NA,0.4
APPTF ,TF5.4,2006-05-15T00:00:00Z,2006,5,TF5.4_2006,23.71,0.921,0.324,0.0681,22,0.5
APPTF ,TF5.4,2006-06-29T00:00:00Z,2006,6,TF5.4_2006,61.32,0.932,0.012,0.1027,31,0.4
APPTF ,TF5.4,2006-07-24T00:00:00Z,2006,7,TF5.4_2006,7.05,1.038,0.339,0.1082,41,0.3
APPTF ,TF5.4,2006-08-22T00:00:00Z,2006,8,TF5.4_2006,51.18,1.319,0.201,0.1451,29,0.4
APPTF ,TF5.4,2006-09-26T00:00:00Z,2006,9,TF5.4_2006,15.91,NA,0.482,0.0908,40,0.3
APPTF ,TF5.4,2006-10-30T00:00:00Z,2006,10,TF5.4_2006,1.87,0.745,0.242,0.0778,23,0.3
APPTF ,TF5.4,2007-05-30T00:00:00Z,2007,5,TF5.4_2007,20.59,0.816,0.26,0.0826,29,0.6
APPTF ,TF5.4,2007-06-18T00:00:00Z,2007,6,TF5.4_2007,57.23,0.852,0.009000000000000001,0.0762,27,0.5
APPTF ,TF5.4,2007-07-23T00:00:00Z,2007,7,TF5.4_2007,73.43,0.982,0.049,0.1047,33,0.3
APPTF ,TF5.4,2007-08-20T00:00:00Z,2007,8,TF5.4_2007,12.1,0.965,0.565,0.1051,22,0.3
APPTF ,TF5.4,2007-09-24T00:00:00Z,2007,9,TF5.4_2007,58.47,1.357,0.327,0.0982,24,0.4
APPTF ,TF5.4,2007-10-22T00:00:00Z,2007,10,TF5.4_2007,45.84,1.284,0.351,0.0967,27,0.4
APPTF ,TF5.4,2008-05-22T00:00:00Z,2008,5,TF5.4_2008,3.7,0.812,0.307,0.0725,10,0.4
APPTF ,TF5.4,2008-06-17T00:00:00Z,2008,6,TF5.4_2008,47.17,0.955,0.142,0.0964,27,0.5
APPTF ,TF5.4,2008-07-15T00:00:00Z,2008,7,TF5.4_2008,23.55,1.09,0.377,0.0777,23,0.5
APPTF ,TF5.4,2008-09-16T00:00:00Z,2008,9,TF5.4_2008,14.17,1.153,0.509,0.1046,35,0.4
APPTF ,TF5.4,2008-10-21T00:00:00Z,2008,10,TF5.4_2008,19.12,1.015,0.321,0.0777,29,0.6
