Lake,STATION_ID
Claytor Lake,9-NEW087.14
Claytor Lake,9-NEW089.34
Claytor Lake,9-NEW092.66
Claytor Lake,9-NEW098.32
Claytor Lake,9-PKC000.00
Claytor Lake,9-PKC004.16
Kerr Reservoir,4AROA018.36
Kerr Reservoir,4AROA022.52
Kerr Reservoir,4AROA028.04
Kerr Reservoir,4AROA032.42
Kerr Reservoir,4AROA038.49
Kerr Reservoir,4AROA043.14
Lake Anna,8-COL000.99
Lake Anna,8-PLT001.34
Lake Anna,8-NAR034.92
Lake Anna,8-NAR043.00
Lake Anna,8-NAR047.69
Lake Anna,8-NAR054.17
Lake Anna,8-NAR058.01
Lake Anna,8-PMC002.13
Lake Anna,8-PMC007.15
Lake Anna,8-PMC008.60
SML,4ABSA000.62
SML,4ABWR002.50
SML,4ABWR010.55
SML,4ABWR017.42
SML,4ACCK001.80
SML,4ACOA000.60
SML,4AGIL002.39
SML,4AROA158.22
SML,4AROA163.76
SML,4AROA167.34
SML,4AROA175.63
SML,4AROA180.21
SML,4AROA183.64
SML,4AROA192.55
SML,4AROA192.94
SML,4AROA196.05
SML,4AWTH000.40
