STATION_ID,DATE,CHLa,Year,Month,StationDate,STATION_YEAR,SECCHI_DEPTH,NITROGEN_TOTAL,PHOSPHORUS_TOTAL,PHOSPHORUS_ORTHO,TURBIDITY_HACH,TURBIDITY_NTU,TSF,TF,TSS,AMMONIA_TOTAL,NITRATE_TOTAL,DIN
1AAUA012.15,2004-05-20T00:00:00Z,4.34,2004,5,1AAUA012.15_2004-05-20,1AAUA012.15_2004,NA,0.31,0.01,0,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2004-06-16T00:00:00Z,2.88,2004,6,1AAUA012.15_2004-06-16,1AAUA012.15_2004,NA,0.4,0.02,0.01,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2004-07-21T00:00:00Z,1.94,2004,7,1AAUA012.15_2004-07-21,1AAUA012.15_2004,NA,0.34,0.02,0,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2004-08-30T00:00:00Z,4.24,2004,8,1AAUA012.15_2004-08-30,1AAUA012.15_2004,NA,0.38,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2004-09-30T00:00:00Z,3.01,2004,9,1AAUA012.15_2004-09-30,1AAUA012.15_2004,NA,0.54,0.03,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2004-10-28T00:00:00Z,2.2800000000000002,2004,10,1AAUA012.15_2004-10-28,1AAUA012.15_2004,NA,0.51,0.02,0.02,NA,NA,NA,NA,NA,0.09,NA,NA
1AAUA012.15,2013-05-15T00:00:00Z,5.77,2013,5,1AAUA012.15_2013-05-15,1AAUA012.15_2013,1,0.43,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2013-06-26T00:00:00Z,3.51,2013,6,1AAUA012.15_2013-06-26,1AAUA012.15_2013,1.5,0.4,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2013-07-25T00:00:00Z,4.79,2013,7,1AAUA012.15_2013-07-25,1AAUA012.15_2013,2.2,0.33,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2013-08-14T00:00:00Z,3.24,2013,8,1AAUA012.15_2013-08-14,1AAUA012.15_2013,2.3,0.34,0.01,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2013-09-24T00:00:00Z,4.68,2013,9,1AAUA012.15_2013-09-24,1AAUA012.15_2013,2.1,0.3,0.01,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2013-10-16T00:00:00Z,3.08,2013,10,1AAUA012.15_2013-10-16,1AAUA012.15_2013,2.4,0.25,0.01,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2014-05-14T00:00:00Z,3.65,2014,5,1AAUA012.15_2014-05-14,1AAUA012.15_2014,1.5,0.35,0.02,0.16,NA,NA,NA,NA,NA,0.11,NA,NA
1AAUA012.15,2014-06-18T00:00:00Z,2.69,2014,6,1AAUA012.15_2014-06-18,1AAUA012.15_2014,1.5,0.3,0.02,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2014-07-14T00:00:00Z,3.56,2014,7,1AAUA012.15_2014-07-14,1AAUA012.15_2014,2.1,0.41000000000000003,0.015,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2014-08-06T00:00:00Z,1.58,2014,8,1AAUA012.15_2014-08-06,1AAUA012.15_2014,2.7,0.29,0.01,0.02,NA,NA,NA,NA,NA,0.04,NA,NA
1AAUA012.15,2014-09-22T00:00:00Z,5.22,2014,9,1AAUA012.15_2014-09-22,1AAUA012.15_2014,2.7,0.28,0.02,0.01,NA,NA,NA,NA,NA,0,NA,NA
1AAUA012.15,2014-10-28T00:00:00Z,5.84,2014,10,1AAUA012.15_2014-10-28,1AAUA012.15_2014,1.5,0.28,0.01,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1AAUA012.15,2019-05-28T00:00:00Z,2.7,2019,5,1AAUA012.15_2019-05-28,1AAUA012.15_2019,1.7,0.4,0.02,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1AAUA012.15,2019-06-26T00:00:00Z,1.89,2019,6,1AAUA012.15_2019-06-26,1AAUA012.15_2019,2.3,0.32,0.01,0.01,NA,NA,NA,NA,NA,0.02,NA,NA
1AAUA012.15,2019-07-15T00:00:00Z,2.54,2019,7,1AAUA012.15_2019-07-15,1AAUA012.15_2019,2.8,0.28,0.01,0.01,NA,NA,NA,NA,NA,0.01,NA,NA
1AAUA012.15,2019-08-15T00:00:00Z,1.82,2019,8,1AAUA012.15_2019-08-15,1AAUA012.15_2019,2.6,0.24,0.01,0.01,NA,NA,NA,NA,NA,0,NA,NA
