site_no,date,CHLa,Year,Month,STATION_YEAR,TN,TP,TSS
1668000,2003-05-27T00:00:00Z,1.09,2003,5,1668000_2003,NA,NA,58
1668000,2003-06-09T00:00:00Z,1.66,2003,6,1668000_2003,NA,NA,55
1668000,2003-06-12T00:00:00Z,1.07,2003,6,1668000_2003,NA,NA,16
1668000,2003-07-02T00:00:00Z,1.48,2003,7,1668000_2003,NA,NA,4
1668000,2003-08-13T00:00:00Z,2.19,2003,8,1668000_2003,NA,NA,60
1668000,2003-09-11T00:00:00Z,0.5,2003,9,1668000_2003,NA,NA,3
1668000,2003-09-19T00:00:00Z,7.08,2003,9,1668000_2003,NA,NA,488
1668000,2003-09-22T00:00:00Z,1.82,2003,9,1668000_2003,NA,NA,65
1668000,2003-09-23T00:00:00Z,3.45,2003,9,1668000_2003,NA,NA,255
1668000,2003-10-09T00:00:00Z,1.07,2003,10,1668000_2003,NA,NA,3
1668000,2004-05-06T00:00:00Z,1.03,2004,5,1668000_2004,NA,NA,22
1668000,2004-06-03T00:00:00Z,0.5,2004,6,1668000_2004,NA,NA,3
1668000,2004-07-08T00:00:00Z,0.5,2004,7,1668000_2004,NA,NA,14
1668000,2004-08-05T00:00:00Z,0.93,2004,8,1668000_2004,NA,NA,27
1668000,2004-09-09T00:00:00Z,0.8,2004,9,1668000_2004,NA,NA,14
1668000,2004-09-29T00:00:00Z,1.5,2004,9,1668000_2004,NA,NA,266
1668000,2004-10-07T00:00:00Z,0.5,2004,10,1668000_2004,NA,NA,7
1668000,2005-05-12T00:00:00Z,1.5,2005,5,1668000_2005,0.2,0.02,3
1668000,2005-06-09T00:00:00Z,0.5,2005,6,1668000_2005,0.6,0.03,4
1668000,2005-07-14T00:00:00Z,0.69,2005,7,1668000_2005,0.7,0.06,11
1668000,2005-08-11T00:00:00Z,0.84,2005,8,1668000_2005,1.1,0.08,7
1668000,2005-09-08T00:00:00Z,0.5,2005,9,1668000_2005,0.54,0.03,3
1668000,2005-10-04T00:00:00Z,0.57,2005,10,1668000_2005,0.24,0.02,3
1668000,2005-10-09T00:00:00Z,4.56,2005,10,1668000_2005,2.1,0.52,168
1668000,2006-05-04T00:00:00Z,0.89,2006,5,1668000_2006,0.47,0.03,3
1668000,2006-05-16T00:00:00Z,3.7,2006,5,1668000_2006,1.1,0.09,34
1668000,2006-05-23T00:00:00Z,0.5,2006,5,1668000_2006,0.45,0.04,3
1668000,2006-06-01T00:00:00Z,0.52,2006,6,1668000_2006,0.4,0.03,3
1668000,2006-06-20T00:00:00Z,0.71,2006,6,1668000_2006,0.36,0.03,3
1668000,2006-07-12T00:00:00Z,0.5,2006,7,1668000_2006,0.57,0.05,3
1668000,2006-08-09T00:00:00Z,0.64,2006,8,1668000_2006,0.29,0.05,5
1668000,2006-09-13T00:00:00Z,0.5,2006,9,1668000_2006,0.56,0.04,3
1668000,2006-10-18T00:00:00Z,0.5,2006,10,1668000_2006,0.77,0.03,3
1668000,2007-05-03T00:00:00Z,5.09,2007,5,1668000_2007,0.61,0.03,14
1668000,2007-05-09T00:00:00Z,1.55,2007,5,1668000_2007,0.56,0.02,3
1668000,2007-05-17T00:00:00Z,3.17,2007,5,1668000_2007,0.51,0.03,4
1668000,2007-06-06T00:00:00Z,0.61,2007,6,1668000_2007,0.76,0.04,3
1668000,2007-06-28T00:00:00Z,0.57,2007,6,1668000_2007,0.26,0.03,3
1668000,2007-07-11T00:00:00Z,0.5,2007,7,1668000_2007,0.34,0.04,3
1668000,2007-08-08T00:00:00Z,3.2,2007,8,1668000_2007,0.4,0.03,3
1668000,2007-09-05T00:00:00Z,0.68,2007,9,1668000_2007,0.73,0.05,3
1668000,2007-10-10T00:00:00Z,0.55,2007,10,1668000_2007,0.28,0.02,3
1668000,2008-05-29T00:00:00Z,0.5,2008,5,1668000_2008,0.59,0.02,3
1668000,2008-06-05T00:00:00Z,8.65,2008,6,1668000_2008,2.3,0.65,345
1668000,2008-06-10T00:00:00Z,0.55,2008,6,1668000_2008,1,0.05,5
1668000,2008-07-08T00:00:00Z,0.69,2008,7,1668000_2008,0.87,0.05,6
1668000,2008-08-12T00:00:00Z,1.28,2008,8,1668000_2008,0.27,0.03,3
1668000,2008-09-09T00:00:00Z,1.03,2008,9,1668000_2008,1,0.07,10
1668000,2008-10-15T00:00:00Z,0.59,2008,10,1668000_2008,0.22,0.02,3
1668000,2009-05-07T00:00:00Z,11.5,2009,5,1668000_2009,NA,0.79,530
1668000,2009-05-11T00:00:00Z,1.26,2009,5,1668000_2009,0.99,0.07,27
1668000,2009-06-09T00:00:00Z,1.19,2009,6,1668000_2009,0.92,0.07,25
1668000,2009-07-14T00:00:00Z,0.96,2009,7,1668000_2009,0.33,0.02,3
1668000,2009-08-11T00:00:00Z,0.52,2009,8,1668000_2009,0.6,0.04,5
1668000,2009-09-09T00:00:00Z,2.49,2009,9,1668000_2009,0.32,0.02,3
1668000,2009-10-14T00:00:00Z,4.24,2009,10,1668000_2009,0.25,0.02,5
1668000,2010-05-11T00:00:00Z,4.66,2010,5,1668000_2010,0.65,0.02,4
1668000,2010-05-18T00:00:00Z,2.17,2010,5,1668000_2010,0.61,0.02,3
1668000,2010-05-24T00:00:00Z,4.59,2010,5,1668000_2010,1.9,0.35,179
1668000,2010-06-08T00:00:00Z,1.07,2010,6,1668000_2010,1.1,0.06,12
1668000,2010-06-23T00:00:00Z,2.47,2010,6,1668000_2010,0.4,0.03,6
1668000,2010-07-13T00:00:00Z,1.23,2010,7,1668000_2010,0.29,0.04,3
1668000,2010-08-10T00:00:00Z,2.19,2010,8,1668000_2010,0.46,0.03,4
1668000,2010-09-14T00:00:00Z,0.73,2010,9,1668000_2010,0.31,0.02,2
1668000,2010-09-28T00:00:00Z,1.89,2010,9,1668000_2010,0.34,0.02,3
1668000,2010-09-30T00:00:00Z,1.07,2010,9,1668000_2010,0.38,0.05,19
1668000,2010-10-14T00:00:00Z,0.44,2010,10,1668000_2010,0.43,0.02,2
1668000,2010-10-28T00:00:00Z,3.29,2010,10,1668000_2010,0.5,0.12,56
1668000,2011-05-10T00:00:00Z,1.42,2011,5,1668000_2011,0.54,0.03,7
1668000,2011-06-14T00:00:00Z,2.86,2011,6,1668000_2011,0.63,0.03,3
1668000,2011-07-12T00:00:00Z,1.78,2011,7,1668000_2011,0.31,0.03,3
1668000,2011-08-09T00:00:00Z,9.04,2011,8,1668000_2011,1.3,0.12,10
1668000,2011-09-07T00:00:00Z,11.8,2011,9,1668000_2011,1.9,0.36,151
1668000,2011-09-13T00:00:00Z,1.26,2011,9,1668000_2011,1.1,0.1,11
1668000,2011-10-12T00:00:00Z,0.8,2011,10,1668000_2011,0.36,0.02,2
1668000,2011-10-13T00:00:00Z,15.5,2011,10,1668000_2011,2.7,0.84,692
1668000,2012-05-08T00:00:00Z,1.26,2012,5,1668000_2012,0.86,0.03,6
1668000,2012-05-16T00:00:00Z,15.8,2012,5,1668000_2012,2,0.46,314
1668000,2012-06-12T00:00:00Z,0.96,2012,6,1668000_2012,0.27,0.02,2
1668000,2012-06-14T00:00:00Z,0.82,2012,6,1668000_2012,0.27,0.03,5
1668000,2012-06-15T00:00:00Z,0.66,2012,6,1668000_2012,0.42,0.03,3
1668000,2012-07-17T00:00:00Z,0.52,2012,7,1668000_2012,0.3,0.03,3
1668000,2012-08-14T00:00:00Z,0.55,2012,8,1668000_2012,0.32,0.02,2
1668000,2012-09-06T00:00:00Z,3.45,2012,9,1668000_2012,0.53,0.04,9
1668000,2012-09-11T00:00:00Z,0.76,2012,9,1668000_2012,0.44,0.03,3
1668000,2012-09-20T00:00:00Z,2.03,2012,9,1668000_2012,0.34,0.04,8
1668000,2012-10-03T00:00:00Z,4.34,2012,10,1668000_2012,1.6,0.32,108
1668000,2012-10-10T00:00:00Z,0.39,2012,10,1668000_2012,0.7,0.04,1
1668000,2012-10-30T00:00:00Z,18.9,2012,10,1668000_2012,2.5,0.81,481
1668000,2012-10-31T00:00:00Z,2.42,2012,10,1668000_2012,1.5,0.29,109
1668000,2013-05-14T00:00:00Z,0.84,2013,5,1668000_2013,0.67,0.06,16
1668000,2013-06-11T00:00:00Z,3.52,2013,6,1668000_2013,1.7,0.37,171
1668000,2013-07-09T00:00:00Z,0.64,2013,7,1668000_2013,0.91,0.06,11
1668000,2013-08-13T00:00:00Z,0.44,2013,8,1668000_2013,0.41,0.03,2
1668000,2013-09-10T00:00:00Z,0.62,2013,9,1668000_2013,0.29,0.02,2
1668000,2013-10-18T00:00:00Z,0.52,2013,10,1668000_2013,0.64,0.04,6
1668000,2014-05-01T00:00:00Z,1.73,2014,5,1668000_2014,1.6,NA,251
1668000,2014-05-13T00:00:00Z,1.21,2014,5,1668000_2014,0.7,0.03,7
1668000,2014-06-10T00:00:00Z,14.8,2014,6,1668000_2014,0.73,0.07,38
1668000,2014-07-08T00:00:00Z,0.57,2014,7,1668000_2014,0.6,0.04,5
1668000,2014-08-12T00:00:00Z,2.92,2014,8,1668000_2014,0.7,0.15,123
1668000,2014-09-09T00:00:00Z,0.53,2014,9,1668000_2014,0.24,0.02,2
1668000,2014-10-14T00:00:00Z,0.32,2014,10,1668000_2014,0.19,0.02,4
1668000,2014-10-16T00:00:00Z,22.1,2014,10,1668000_2014,1.7,0.6,374
1668000,2015-05-12T00:00:00Z,0.73,2015,5,1668000_2015,0.66,0.04,9
1668000,2015-06-15T00:00:00Z,0.62,2015,6,1668000_2015,0.37,0.03,4
1668000,2015-06-22T00:00:00Z,1.92,2015,6,1668000_2015,1.4,0.19,97
1668000,2015-07-14T00:00:00Z,6.8,2015,7,1668000_2015,1.7,0.55,307
1668000,2015-08-11T00:00:00Z,0.44,2015,8,1668000_2015,0.24,0.02,2
1668000,2015-09-08T00:00:00Z,0.62,2015,9,1668000_2015,0.27,0.02,2
1668000,2015-10-01T00:00:00Z,2.5,2015,10,1668000_2015,1.7,0.46,198
1668000,2015-10-13T00:00:00Z,0.39,2015,10,1668000_2015,0.66,0.03,3
1668000,2015-10-29T00:00:00Z,18,2015,10,1668000_2015,2.1,0.65,428
1668000,2016-05-05T00:00:00Z,16,2016,5,1668000_2016,1.4,0.3,169
1668000,2016-05-10T00:00:00Z,1.6,2016,5,1668000_2016,0.69,0.08,30
1668000,2016-06-14T00:00:00Z,1.4,2016,6,1668000_2016,0.35,0.03,2
1668000,2016-06-17T00:00:00Z,11,2016,6,1668000_2016,0.65,0.06,23
1668000,2016-07-11T00:00:00Z,0.41,2016,7,1668000_2016,0.75,0.05,4
1668000,2016-08-09T00:00:00Z,1.2,2016,8,1668000_2016,0.97,0.1,21
1668000,2016-09-13T00:00:00Z,0.43,2016,9,1668000_2016,0.31,0.03,2
1668000,2016-09-30T00:00:00Z,1.2,2016,9,1668000_2016,0.88,0.07,14
1668000,2016-10-11T00:00:00Z,0.39,2016,10,1668000_2016,0.53,0.04,2
1668000,2017-05-06T00:00:00Z,4.8,2017,5,1668000_2017,1.7,0.62,315
1668000,2017-05-09T00:00:00Z,1.3,2017,5,1668000_2017,0.9,0.12,56
1668000,2017-05-15T00:00:00Z,1.4,2017,5,1668000_2017,0.95,0.14,59
1668000,2017-06-13T00:00:00Z,0.6,2017,6,1668000_2017,0.38,0.02,1
1668000,2017-07-11T00:00:00Z,0.41,2017,7,1668000_2017,0.9,0.06,5
1668000,2017-08-08T00:00:00Z,0.28,2017,8,1668000_2017,0.29,0.03,3
1668000,2017-09-12T00:00:00Z,0.23,2017,9,1668000_2017,0.23,0.02,2
1668000,2017-10-10T00:00:00Z,0.36,2017,10,1668000_2017,0.28,0.02,1
1668000,2017-10-12T00:00:00Z,0.46,2017,10,1668000_2017,0.25,0.03,2
1668000,2017-10-31T00:00:00Z,3.8,2017,10,1668000_2017,1.5,0.33,127
1668000,2018-05-08T00:00:00Z,0.71,2018,5,1668000_2018,0.49,0.03,2
1668000,2018-05-20T00:00:00Z,2.9,2018,5,1668000_2018,1.6,0.48,250
1668000,2018-06-12T00:00:00Z,1.1,2018,6,1668000_2018,0.94,0.09,36
1668000,2018-07-10T00:00:00Z,0.84,2018,7,1668000_2018,0.35,0.02,1
