site_no,CHLa_minYear,CHLa_maxYear,CHLa_mean,CHLa_median,CHLa_min,CHLa_max,CHLa_Nobs,CHLa_nYears,TN_minYear,TN_maxYear,TN_mean,TN_median,TN_min,TN_max,TN_Nobs,TN_nYears,TP_minYear,TP_maxYear,TP_mean,TP_median,TP_min,TP_max,TP_Nobs,TP_nYears,TSS_minYear,TSS_maxYear,TSS_mean,TSS_median,TSS_min,TSS_max,TSS_Nobs,TSS_nYears
1628500,NA,NA,NA,NA,NA,NA,0,0,2012,2023,1.68475,1.65,0.76,3.2,40,12,2012,2023,0.1455,0.09,0.01,0.6,40,12,2012,2023,62.875,28.5,2,280,40,12
1629500,NA,NA,NA,NA,NA,NA,0,0,2023,2023,0.8260000000000001,0.86,0.46,1.1,5,1,2023,2023,0.03,0.03,0.01,0.04,5,1,2023,2023,2.2,2,2,3,5,1
1631000,NA,NA,NA,NA,NA,NA,0,0,1999,2023,1.14515,1.1,0.18,3,200,23,1999,2023,0.10363,0.07,0.01,0.8,200,23,2005,2023,29.061728395061728,4,1,465,162,19
1633000,NA,NA,NA,NA,NA,NA,0,0,2023,2023,1.68,1.7,1.2,2.2,5,1,2023,2023,0.036000000000000004,0.04,0.02,0.05,5,1,2023,2023,3.2,4,2,4,5,1
1634000,NA,NA,NA,NA,NA,NA,0,0,1999,2023,1.5767,1.5,0.29,4.1,200,23,1999,2023,0.12874,0.05,0.01,0.81,200,23,2005,2023,41.15337423312884,3,1,598,163,19
1664000,NA,NA,NA,NA,NA,NA,0,0,2012,2023,1.1613953488372093,1.1,0.22,2.6,43,12,2012,2023,0.3097674418604651,0.22,0.03,1.48,43,12,2012,2023,170.69767441860466,142,1,629,43,12
1667500,NA,NA,NA,NA,NA,NA,0,0,2005,2023,1.052471264367816,0.83,0.19,3.8,174,19,2005,2023,0.17994219653179191,0.05,0.02,1.56,173,19,2005,2023,81.25287356321839,4,1,1040,174,19
1668000,2003,2023,2.3985340314136128,1.03,0.23,22.1,191,21,2005,2023,0.7744252873563219,0.61,0.19,2.7,174,19,2005,2023,0.12143678160919541,0.04,0.01,0.91,174,19,1999,2023,57.61764705882353,5,1,754,238,25
1671020,NA,NA,NA,NA,NA,NA,0,0,2007,2023,0.42393333333333333,0.37,0.18,1.4,150,17,2007,2023,0.03641891891891892,0.02,0.01,0.24,148,17,2007,2023,16.22,5,1,166,150,17
1673000,2003,2023,1.5953886010362694,1.1,0.34,7.81,193,21,2005,2023,0.796,0.76,0.42,1.5,170,19,2005,2023,0.09964912280701754,0.08,0.03,0.34,171,19,1999,2023,36.68301886792453,17,1,440,265,25
1674000,NA,NA,NA,NA,NA,NA,0,0,2012,2023,0.6452631578947369,0.64,0.32,1.2,38,12,2012,2023,0.07105263157894737,0.07,0.03,0.13,38,12,2012,2023,11.054054054054054,9,1,28,37,12
1674500,2003,2023,0.84273631840796015,0.64,0.14,4.63,201,21,2005,2023,0.6754098360655738,0.69,0.34,1.2,183,19,2005,2023,0.06704918032786886,0.06,0.03,0.21,183,19,1999,2023,9.25,5,1,93,272,25
2024752,NA,NA,NA,NA,NA,NA,0,0,2005,2023,0.7130357142857143,0.585,0.23,3,56,18,2005,2023,0.13142857142857142,0.065,0.02,0.92,56,18,2005,2023,84.71428571428571,26,2,912,56,18
2034000,NA,NA,NA,NA,NA,NA,0,0,2011,2023,0.9333333333333333,0.9,0.39,1.7,39,13,2011,2023,0.2241025641025641,0.16,0.03,0.65,39,13,2011,2023,112.1025641025641,71,1,484,39,13
2035000,2003,2023,2.0410160427807487,1.1,0.28,22.3,187,21,2005,2023,0.5363095238095238,0.44,0.16,1.9,168,19,2005,2023,0.09784883720930233,0.04,0.01,0.74,172,19,1999,2023,45.47808764940239,7,1,447,251,25
2039500,NA,NA,NA,NA,NA,NA,0,0,2012,2023,0.9034210526315789,0.82,0.15,2.2,38,12,2012,2023,0.1755263157894737,0.13,0.01,0.77,38,12,2012,2023,140.39473684210526,64.5,1,935,38,12
2041650,2003,2023,2.781111111111111,1.37,0.21,21.5,180,21,2005,2023,0.672716049382716,0.64,0.33,1.4,162,19,2005,2023,0.05276073619631902,0.04,0.02,0.18,163,19,1999,2023,7.152,4,1,72,250,25
2042500,NA,NA,NA,NA,NA,NA,0,0,2007,2023,0.6364516129032258,0.62,0.38,0.95,155,17,2007,2023,0.0907741935483871,0.09,0.03,0.16,155,17,2007,2023,4.875816993464053,4,1,23,153,17
