STATION_ID,Reservoir,Region,Abbr,Location,y,x
4ABSA000.62,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Mouth of Bull Run,37.027778,-79.633333
4ABWR002.50,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Lower Blackwater River - SML,37.038889,-79.615278
4ABWR010.55,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Middle Blackwater River - SML,37.040278,-79.702778
4ABWR017.42,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Upper Blackwater River - SML,37.063056,-79.744444
4ACCK001.80,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Mouth Craddock Cr. - SML,37.062813,-79.568464
4ACOA000.60,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Cool Branch - SML,37.023056,-79.602222
4AGIL002.39,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Gills Creek - SML,37.065278,-79.6875
4AROA158.22,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Dam - SML,37.045743,-79.539866
4AROA163.76,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Confl. Blackwater River - SML,37.046394,-79.587797
4AROA167.34,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Buoy R12 - SML,37.069511,-79.606521
4AROA175.63,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Hales Ford - SML,37.147403,-79.670989
4AROA180.21,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Confl. Indian Cr. - SML,37.149081,-79.700377
4AROA183.64,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Confl. Beaverdam Cr. - SML,37.192684,-79.724041
4AROA192.55,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,"SMITH MTN. LAKE, HARDYS FORD",37.22,-79.798889
4AROA192.94,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,HARDY FORD - SML,37.2176,-79.80008
4AROA196.05,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,McVeigh Ford - SML,37.218982,-79.830328
4AWTH000.40,Smith Mtn. Lake (Blackwater River),Piedmont,BRRO,Mouth of Witcher Cr. - SML,37.057778,-79.535556
