STATION_ID,Year,Month,PHOSPHORUS_TOTAL
2-XDD000.40,2007,5,0.05
2-XDD000.40,2007,6,0.07
2-XDD000.40,2007,7,5.2
2-XDD000.40,2007,8,0.27
2-XDD000.40,2007,9,0.3
2-XDD000.40,2007,10,0.32
5ASRN000.66,2004,5,NA
5ASRN000.66,2004,6,4.88
5ASRN000.66,2004,7,2.8
5ASRN000.66,2004,8,0.17
5ASRN000.66,2004,9,0.51
5ASRN000.66,2004,10,1.83
5ASRN000.66,2008,5,0.1
5ASRN000.66,2008,6,0.48
5ASRN000.66,2008,7,5.28
5ASRN000.66,2008,8,0.5
5ASRN000.66,2008,9,0.82
5ASRN000.66,2008,10,0.1
5ASRN000.66,2010,5,0.92
5ASRN000.66,2010,6,0.94
5ASRN000.66,2010,7,5.15
5ASRN000.66,2010,8,0.91
5ASRN000.66,2010,9,0.75
5ASRN000.66,2010,10,0.18
5ASRN000.66,2004,5,NA
